Drug,Number_of_Genes,Target_Genes,Sources
SULFINPYRAZONE,1,SLC22A12,GuideToPharmacology
THERAPEUTIC GLUCOCORTICOID,1,MMP1,NCI
TEZEPELUMAB,1,TSLP,"ChEMBL, TTD"
TETRAHYDROZOLINE HYDROCHLORIDE,1,ADRA1A,ChEMBL
TERGURIDE,1,ADRA1A,GuideToPharmacology
TERAZOSIN HYDROCHLORIDE,1,ADRA1A,ChEMBL
TERAZOSIN,1,ADRA1A,TEND
TEDISAMIL,1,KCNB1,ChEMBL
TEDATIOXETINE,1,ADRA1A,"ChEMBL, TdgClinicalTrial"
TAMSULOSIN HYDROCHLORIDE,1,ADRA1A,"ChEMBL, TEND"
"SYNTHETIC CONJUGATED ESTROGENS, A",1,PROC,PharmGKB
SULTHIAME,1,CA4,ChEMBL
STAUROSPORINE,1,GFAP,NCI
SHR-4640,1,SLC22A12,ChEMBL
SPIROXATRINE,1,ADRA1A,GuideToPharmacology
SPIPERONE,1,ADRA1A,GuideToPharmacology
SPHINGOSINE,1,TRPM3,GuideToPharmacology
SORBITOL,1,GFAP,NCI
SODIUM TETRADECYL SULFATE,1,PROC,TEND
SODIUM BUTYRATE,1,GFAP,NCI
SNAP5089,1,ADRA1A,GuideToPharmacology
SL422,1,MMP13,GuideToPharmacology
SIROLIMUS,1,MMP1,NCI
SILODOSIN,1,ADRA1A,TEND
SIB-1893,1,GRM4,GuideToPharmacology
MIPOMERSEN,1,APOB,TdgClinicalTrial
METARAMINOL,1,ADRA1A,TEND
MIDODRINE,1,ADRA1A,TEND
CIM0216,1,TRPM3,GuideToPharmacology
CHORIONIC GONADOTROPIN,1,LHCGR,ChEMBL
CHORIOGONADOTROPIN ALFA,1,LHCGR,TEND
CHOLESTYRAMINE RESIN,1,APOB,NCI
CHLORTHALIDONE,1,CA4,GuideToPharmacology
CHLOROTHIAZIDE,1,CA4,TEND
CHLOROFORM,1,TRPM3,GuideToPharmacology
CHEMBL:CHEMBL572346,1,GRM4,DTC
CHEMBL:CHEMBL571453,1,GRM4,DTC
CHEMBL:CHEMBL559271,1,GRM4,DTC
CHEMBL:CHEMBL549330,1,GRM4,DTC
CHEMBL:CHEMBL541754,1,GRM4,DTC
CHEMBL:CHEMBL505670,1,LHCGR,DTC
CHEMBL:CHEMBL448753,1,LHCGR,DTC
CHEMBL:CHEMBL429095,1,LHCGR,DTC
CHEMBL:CHEMBL1585652,1,NPY2R,DTC
CGS-27023A,1,MMP1,GuideToPharmacology
CARVEDILOL PHOSPHATE,1,ADRA1A,ChEMBL
CAPSAICIN,1,GFAP,NCI
CALCIUM CHANNEL BLOCKER,1,LEP,NCI
CAFFEINE,1,GFAP,NCI
CABERGOLINE,1,ADRA1A,GuideToPharmacology
C2-NPY (PIG),1,NPY2R,GuideToPharmacology
BUNAZOSIN,1,ADRA1A,ChEMBL
CILOBRADINE,1,HCN2,GuideToPharmacology
CIPEMASTAT,1,MMP1,GuideToPharmacology
BROMOCRIPTINE MESYLATE,1,LEP,NCI
CIRAZOLINE,1,ADRA1A,GuideToPharmacology
DAIDZEIN,1,IBSP,NCI
DABUZALGRON,1,ADRA1A,GuideToPharmacology
DABIGATRAN,1,APOB,PharmGKB
D-ALPHA-TOCOPHEROL,1,APOB,NCI
CYPROHEPTADINE HYDROCHLORIDE,1,ADRA1A,GuideToPharmacology
CYCLOPHOSPHAMIDE ANHYDROUS,1,ADH1C,PharmGKB
CURCUMIN,1,MMP13,TTD
CTS-1027,1,MMP13,ChEMBL
CTP-37-DT VACCINE,1,LHCGR,TdgClinicalTrial
CS+,1,HCN2,GuideToPharmacology
COMPOUND 7 [PMID: 20638279],1,GRM4,GuideToPharmacology
