Gene,Drug,Interaction,Source,Log2FC,Adjusted_P,Significance,Expression_Direction
ADRA1A,PRAZOSIN HYDROCHLORIDE,inhibitor,ChEMBL,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,METHAMPHETAMINE,unknown,TEND,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,DOPAMINE,unknown,PharmGKB,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,RAUWOLFIA SERPENTINA,inhibitor,ChEMBL,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,PROPIOMAZINE,unknown,TEND,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,SNAP5089,inhibitor,GuideToPharmacology,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,XYLOMETAZOLINE HYDROCHLORIDE,agonist,ChEMBL,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,AMIODARONE HYDROCHLORIDE,unknown,TEND,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,CLOMIPRAMINE,inhibitor,GuideToPharmacology,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,TERGURIDE,inhibitor,GuideToPharmacology,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,NICERGOLINE,unknown,TEND,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,A61603,agonist,GuideToPharmacology,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,A-123189,inhibitor,GuideToPharmacology,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,MIDODRINE HYDROCHLORIDE,agonist,ChEMBL,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,PARDOPRUNOX,unknown,TdgClinicalTrial,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,NAFTOPIDIL,unknown,TTD,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,LABETALOL HYDROCHLORIDE,inhibitor,ChEMBL,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,ASENAPINE,unknown,TdgClinicalTrial,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,SERTINDOLE,inhibitor,TEND,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,DIPIVEFRIN HYDROCHLORIDE,agonist,ChEMBL,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,PHENOXYBENZAMINE,unknown,TEND,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,RS-17053,inhibitor,GuideToPharmacology,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,MIANSERIN,inhibitor,GuideToPharmacology,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,LISURIDE,inhibitor,GuideToPharmacology,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
ADRA1A,(+)-ADRENALINE,agonist,GuideToPharmacology,-1.4474562728819085,2.4174286573753478e-58,Downregulated,Downregulated
