Gene,Drug,Interaction,Source
ADRA1A,PHENYLPROPANOLAMINE POLISTIREX,agonist,ChEMBL
ADRA1A,METHOXAMINE HYDROCHLORIDE,agonist,ChEMBL
ADRA1A,NAPHAZOLINE HYDROCHLORIDE,agonist,ChEMBL
ADRA1A,NEFAZODONE,Unknown,TEND
ADRA1A,NIFEDIPINE,Unknown,PharmGKB
ADRA1A,SENREBOTASE,Unknown,TdgClinicalTrial
ADRA1A,A-119637,inhibitor,GuideToPharmacology
ADRA1A,MT-1207,inhibitor,GuideToPharmacology
ADRA1A,PHENOXYBENZAMINE HYDROCHLORIDE,inhibitor,ChEMBL
ADRA1A,NS-49,agonist,GuideToPharmacology
ADRA1A,METHOXAMINE,agonist,TEND
ADRA1A,PSEUDOEPHEDRINE POLISTIREX,Unknown,TEND
ADRA1A,BUCINDOLOL HYDROCHLORIDE,inhibitor,ChEMBL
ADRA1A,CYPROHEPTADINE HYDROCHLORIDE,inhibitor,GuideToPharmacology
ADRA1A,ILOPERIDONE,Unknown,TdgClinicalTrial
ADRA1A,ROXINDOLE,inhibitor,GuideToPharmacology
ADRA1A,ISOXSUPRINE HYDROCHLORIDE,inhibitor,ChEMBL
ADRA1A,ISOPROTERENOL,Unknown,PharmGKB
ADRA1A,TEDATIOXETINE,inhibitor,ChEMBL
ADRA1A,AMITRIPTYLINE HYDROCHLORIDE,inhibitor,GuideToPharmacology
ADRA1A,TERAZOSIN HYDROCHLORIDE,inhibitor,ChEMBL
ADRA1A,BESIPIRDINE,Unknown,TTD
ADRA1A,CABERGOLINE,inhibitor,GuideToPharmacology
ADRA1A,RAUWOLFIA SERPENTINA (USP),inhibitor,ChEMBL
ADRA1A,MEPHENTERMINE SULFATE,agonist,ChEMBL
ADRA1A,MEPHENTERMINE,Unknown,TEND
ADRA1A,RO-70-0004,inhibitor,GuideToPharmacology
ADRA1A,DOXAZOSIN MESYLATE,inhibitor,ChEMBL
ADRA1A,KETANSERIN,inhibitor,GuideToPharmacology
ADRA1A,CARVEDILOL PHOSPHATE,inhibitor,ChEMBL
ADRA1A,NORTRIPTYLINE,inhibitor,GuideToPharmacology
ADRA1A,NAPHAZOLINE,agonist,GuideToPharmacology
ADRA1A,TEDATIOXETINE,Unknown,TdgClinicalTrial
ADRA1A,BODIPY FL-PRAZOSIN,inhibitor,GuideToPharmacology
ADRA1A,RISPERIDONE,inhibitor,GuideToPharmacology
ADRA1A,BETHANIDINE,Unknown,TEND
ADRA1A,TOLAZOLINE,Unknown,TEND
ADRA1A,DAPIPRAZOLE,Unknown,TEND
ADRA1A,PHENYLPROPANOLAMINE,Unknown,TEND
ADRA1A,LISDEXAMFETAMINE DIMESYLATE,Unknown,TEND
ADRA1A,THIORIDAZINE,Unknown,TEND
ADRA1A,EPHEDRINE,Unknown,TEND
ADRA1A,TRAZODONE,Unknown,TEND
ADRA1A,CLOZAPINE,inhibitor,GuideToPharmacology
ADRA1A,PRAZOSIN,inhibitor,TEND
ADRA1A,RS-100329,inhibitor,GuideToPharmacology
ADRA1A,EPINEPHRINE,agonist,TEND
ADRA1A,ERGOLOID MESYLATES,inhibitor,ChEMBL
ADRA1A,WB 4101,inhibitor,GuideToPharmacology
ADRA1A,TOLAZOLINE HYDROCHLORIDE,inhibitor,ChEMBL
ADRA1A,DROXIDOPA,agonist,ChEMBL
ADRA1A,TETRAHYDROZOLINE HYDROCHLORIDE,agonist,ChEMBL
ADRA1A,DEXTROAMPHETAMINE SULFATE,Unknown,TEND
ADRA1A,NOREPINEPHRINE,agonist,TEND
ADRA1A,CARVEDILOL,inhibitor,TEND
ADRA1A,OXYMETAZOLINE HYDROCHLORIDE,agonist,ChEMBL
ADRA1A,HYDROXYAMPHETAMINE HYDROBROMIDE,agonist,ChEMBL
ADRA1A,SPIROXATRINE,inhibitor,GuideToPharmacology
ADRA1A,AVIPTADIL,inhibitor,ChEMBL
ADRA1A,EPHEDRINE HYDROCHLORIDE,agonist,ChEMBL
ADRA1A,INDORAMIN,inhibitor,GuideToPharmacology
ADRA1A,&RHO;-DA1A,inhibitor,GuideToPharmacology
