Gene,Tumor_Mean,Normal_Mean,Log2FC,P_Value,NegLog10_P,Significance,Adjusted_P
NEUROG2,1.2335329079307202,4.036180701754386,-1.1730025380550535,1.0246426383782052e-36,35.98942757581955,Downregulated,8.34427344938697e-36
GPR112,0.339655515041021,1.753239473684211,-1.0392680320158243,1.6331062480260742e-36,35.78698555964153,Downregulated,1.310186450643818e-35
PTCHD3,1.2636444849589792,3.623743859649123,-1.0304140849070167,1.672565468206299e-36,35.77661687390437,Downregulated,1.3407953558092666e-35
CPA2,0.6082040109389243,2.2381578947368426,-1.009722900930927,1.7207944654417816e-36,35.76427099943135,Downregulated,1.377306341468353e-35
MS4A15,4.034627894257064,0.7148815789473684,1.5537761990033216,3.735288859839655e-36,35.427675807400504,Upregulated,2.9280443028830897e-35
TMEM145,4.231311850501367,1.5607736842105262,1.030593018723256,7.464810485259028e-36,35.12698121355865,Upregulated,5.746252690752449e-35
GRIK1,1.422747675478578,4.223232456140351,-1.1082987525336825,8.788673954604546e-36,35.05607664684222,Downregulated,6.735030843151599e-35
CA6,0.8832092980856882,3.2924447368421053,-1.1886062117294176,7.107866882633273e-35,34.148260714333134,Downregulated,5.172793587396706e-34
C6orf126,3.303280309936189,0.9284157894736842,1.1580206711897998,1.1812841956376115e-34,33.92764560640923,Upregulated,8.512377864668363e-34
TNNT1,7.035365542388332,2.8608315789473684,1.0574520350662882,1.9543798841911933e-34,33.7089910160662,Upregulated,1.3883535993925674e-33
HBG1,0.3868629899726526,2.048310526315789,-1.1361846063062466,7.799275041255285e-34,33.10794576400372,Downregulated,5.389401433758701e-33
FBXO40,0.3839751139471286,1.8021245614035089,-1.017703087297419,9.654939119702077e-34,33.01525046036836,Downregulated,6.629294318644938e-33
IGFL2,3.506348131267092,1.132414912280702,1.0794705949453247,1.0165775398663654e-33,32.992859489773835,Upregulated,6.973049413116097e-33
RTBDN,2.218976207839563,0.2530938596491228,1.3611074336526965,1.6175476494480394e-33,32.79114291709664,Upregulated,1.101800041246458e-32
CSN3,0.81272935278031,3.1373017543859643,-1.190526643034991,8.92950099158681e-33,32.04917281016583,Downregulated,5.819766836738958e-32
ITIH2,1.5594330902461258,4.848513157894737,-1.192245609919036,1.3465972943086863e-32,31.87076226248651,Downregulated,8.712777324978674e-32
LOC100124692,1.8453759343664535,5.228431578947369,-1.1302496390842909,2.993863507026599e-32,31.523768003423967,Downregulated,1.9017332239868838e-31
PROL1,2.098409206927985,6.459642982456142,-1.267578891479636,3.401174549105524e-32,31.46837107939685,Downregulated,2.1518062709749274e-31
CSN2,0.2590678213309025,1.806548245614035,-1.1564408621796498,6.442663651668581e-32,31.19093454101704,Downregulated,4.020300448898358e-31
WT1,4.035575843208751,1.2745201754385964,1.1465945353647842,6.810277634862698e-32,31.16683518282568,Upregulated,4.239387502842062e-31
HIST1H2BF,2.16467967183227,0.5602947368421054,1.0202409004712798,1.0070808436847599e-31,30.996935664941,Upregulated,6.223771740171017e-31
IGFBP1,0.9175457611668184,3.350111403508772,-1.1817913406545797,1.300186576669497e-31,30.88599432199786,Downregulated,7.982305747316022e-31
HIST1H2AD,2.003959252506837,0.4664666666666666,1.0345209649376357,6.472534184030922e-31,30.188925647204904,Upregulated,3.842716217413385e-30
LPPR5,1.89476645396536,0.3819578947368421,1.0667332975256971,9.0329437696344e-31,30.044170693256287,Upregulated,5.3212721833742964e-30
NTS,1.4965171376481312,4.151685087719298,-1.0451275968053877,5.468654601860616e-30,29.26211950563304,Downregulated,3.067526747983564e-29
LOC400696,2.7731772105742936,0.8500421052631579,1.028221753643657,1.0365108686166745e-29,28.984426139633317,Upregulated,5.724930893919916e-29
GAL3ST2,2.2231626253418413,0.4904973684210527,1.1126831535619763,2.338120717100959e-29,28.63113306998453,Upregulated,1.2648647779204925e-28
ACTL8,2.7262009115770285,0.3201157894736842,1.4970409882591864,3.085781855736764e-29,28.510634778920444,Upregulated,1.660579331540649e-28
